positive,negative,label
18.580,-3.67,1
10.13,-15.98,0
23.000,-27.180,0
14.38,-9.88,0
78.77,-92.360,0
80.140,-81.210,0
23.26,-6.10,0
33.56,-9.07,1
19.77,-1.65,1
19.68,-13.22,0
7.54,-2.11,1
248.840,-129.820,1
61.590,-40.93,0
3.890,-2.83,0
63.840,-64.18,0
9.59,-15.35,0
22.42,-5.94,0
11.370,-3.070,1
15.16,-19.17,0
64.480,-109.450,0
9.89,-1.30,1
23.60,-14.240,1
26.07,-11.420,1
98.49,-74.460,0
16.60,-26.220,0
133.600,-84.790,0
66.360,-13.80,1
44.79,-29.240,1
3.24,-0.21,1
33.76,-9.67,1
58.740,-21.010,1
23.97,-26.14,0
62.330,-43.890,0
5.37,-1.30,1
25.48,-5.61,1
98.98,-56.760,1
7.15,-3.47,1
3.63,-2.84,1
19.210,-14.250,0
81.650,-24.830,1
22.56,-19.760,0
7.82,0,0
29.35,-17.60,0
34.820,-27.89,0
1.48,-6.53,0
27.910,-38.85,0
6.510,-4.08,1
15.26,-11.280,0
45.93,-15.510,1
25.090,-22.68,1
14.37,-5.03,0
13.31,-2.070,1
43.260,-18.14,1
42.110,-15.16,1
58.12,-61.370,0
7.13,-2.30,1
258.350,-181.070,0
221.620,-201.450,0
14.970,-13.43,1
12.24,-24.68,0
124.980,-66.690,1
11.85,-23.910,0
72.080,-29.240,1
31.99,-32.660,0
63.51,-15.110,1
9.17,-15.66,0
11.01,-4.66,0
20.89,-15.05,1
79.900,-29.33,1
20.56,-24.970,0
114.690,-60.820,0
20.33,-9.74,1
67.82,-14.130,1
62.76,-35.650,1
2.99,-5.19,0
127.79,-49.33,1
231.150,-175.780,1
7.94,-1.33,0
10.44,-11.14,1
64.18,-69.900,0
155.720,-69.420,1
22.92,-71.16,0
26.62,-22.94,0
20.22,-4.080,0
87.21,-67.070,1
40.49,-36.21,1
30.20,-10.69,1
26.10,-31.85,0
61.530,-14.29,1
50.14,-26.71,0
6.02,-1.78,1
7.75,-6.080,1
6.93,-10.41,1
23.71,-12.84,1
23.060,-16.950,0
143.140,-129.360,0
25.45,-3.09,1
0.97,-3.25,0
42.43,-13.13,1
69.030,-37.60,1
13.77,-5.34,0
26.180,-15.76,1
10.010,-9.88,0
29.25,-32.45,1
24.77,-18.540,0
1.50,-1.15,1
96.220,-30.11,1
10.82,-4.07,0
5.20,-0.670,1
7.88,-10.410,0
13.98,-9.56,0
18.95,-5.32,1
36.99,-17.800,0
51.16,-30.440,1
17.63,-3.16,1
12.28,-7.430,0
27.93,-11.74,0
31.090,-15.40,0
100.570,-60.870,0
106.120,-51.71,0
6.27,-3.65,0
13.470,-9.71,1
38.39,-29.750,1
7.90,-13.99,0
28.97,-26.760,0
53.72,-39.83,1
96.58,-45.40,1
1.53,-6.59,0
6.420,-4.08,1
39.82,-21.650,1
90.08,-56.750,0
35.040,-14.08,1
40.28,-24.040,0
9.44,-10.92,0
304.960,-89.59,1
7.310,-5.30,1
14.01,-8.35,0
24.01,-2.94,1
38.740,-31.280,0
37.030,-19.83,1
54.59,-31.85,1
8.71,-3.17,1
28.29,-9.52,1
20.78,-7.36,0
1.61,-2.12,1
10.11,-3.84,0
78.750,-79.320,0
26.58,-14.47,1
30.220,-13.65,0
8.48,-8.86,0
73.970,-35.670,1
36.92,-19.940,0
4.64,-10.48,0
382.070,-280.600,0
18.47,-9.06,1
5.910,-8.44,0
18.64,-5.76,1
123.850,-61.890,1
94.850,-42.48,1
23.98,-11.390,0
16.60,-10.980,1
32.19,-6.07,1
20.39,-26.58,0
8.99,-1.260,0
0.51,-1.51,0
31.85,-20.45,1
97.720,-71.690,1
14.400,-0.74,1
18.66,-12.270,1
4.35,-0.42,0
104.760,-32.85,1
291.270,-233.940,0
41.280,-34.800,1
16.58,-11.13,0
21.820,-15.97,0
10.690,-10.920,0
4.700,-3.56,1
4.79,-3.96,0
171.260,-61.750,1
11.22,-12.18,0
235.880,-128.300,1
37.730,-38.440,0
5.11,-7.280,1
23.64,-18.74,1
45.53,-12.53,1
30.10,-13.76,1
6.310,-6.74,0
21.720,-16.35,0
26.29,-14.88,0
11.88,-7.92,0
15.42,-19.440,0
57.840,-35.190,0
154.910,-124.870,1
22.62,-20.00,1
64.96,-32.12,0
12.33,-21.70,0
10.95,-3.56,1
63.32,-35.72,0
175.450,-66.360,1
46.93,-19.98,1
50.40,-23.010,0
10.94,-9.65,1
70.630,-44.990,0
36.97,-10.64,1
41.27,-30.450,1
56.390,-41.27,0
70.460,-81.650,0
10.66,-28.47,0
99.09,-50.580,0
83.87,-38.01,1
48.99,-25.310,1
22.57,-9.590,1
9.71,-0.80,1
49.050,-21.800,0
8.20,-15.19,0
20.69,-25.54,0
